Week,Milestone Completion %,Active User Adoption %,Migration Accuracy %,Duplicate Rate %,UAT Pass %,Training Completion %,Open Sev1,Open Sev2,Support Tickets,Avg Resolution Hours,Stakeholder Satisfaction
W1,10.0,0,0,11.0,0,0,0,0,0,0,3.4
W2,20.0,5.0,0,10.2,0,0,0,0,0,0,3.5
W3,30.0,12.0,96.0,8.8,35.0,0,0,2,0,0,3.6
W4,40.0,20.0,97.2,7.5,58.0,10.0,0,4,0,0,3.7
W5,50.0,32.0,98.0,6.2,74.0,35.0,0,5,0,0,3.8
W6,62.0,48.0,98.4,5.1,86.0,62.0,0,4,0,0,4.0
W7,73.0,64.0,98.7,4.3,92.0,78.0,0,3,0,0,4.1
W8,84.0,78.0,98.9,3.6,95.0,90.0,0,2,18,9.5,4.2
W9,93.0,87.0,99.0,3.1,96.0,95.0,0,1,31,7.2,4.3
W10,100.0,93.0,99.1,2.7,97.0,96.0,0,0,22,5.8,4.5
