Week,Eligible Customers,Completion %,14-Day Activation %,Median TTV Days,Handoff Completeness %,Setup Completion %,CSAT,Escalation %,30-Day Retention Risk %,Support Tickets per Customer,Avg First Response Hours
W1,100,0.72,0.61,18,0.68,0.76,3.8,0.14,0.19,1.4,8.2
W2,104,0.74,0.63,17,0.72,0.78,3.9,0.13,0.18,1.34,7.8
W3,98,0.76,0.65,16,0.77,0.8,4.0,0.12,0.17,1.28,7.1
W4,108,0.79,0.68,15,0.82,0.83,4.1,0.11,0.15,1.2,6.5
W5,112,0.82,0.71,14,0.86,0.86,4.2,0.1,0.14,1.12,5.8
W6,105,0.85,0.75,13,0.89,0.88,4.3,0.09,0.12,1.04,5.1
W7,116,0.87,0.78,12,0.91,0.9,4.3,0.08,0.11,0.98,4.6
W8,120,0.89,0.8,11,0.93,0.91,4.4,0.08,0.1,0.91,4.1
W9,118,0.91,0.83,10,0.94,0.93,4.5,0.07,0.09,0.86,3.7
W10,125,0.92,0.85,10,0.95,0.94,4.5,0.06,0.08,0.81,3.3
W11,122,0.93,0.86,9,0.96,0.95,4.6,0.06,0.08,0.78,3.0
W12,128,0.94,0.87,9,0.97,0.95,4.6,0.05,0.07,0.74,2.8
