Week,Marketing Spend,Attributed Revenue,Marketing ROI %,ROAS,CPQL,Qualified Lead Rate %,Lead-to-Customer %,Landing Page CVR %,Sales SLA %,Wasted Spend %,Qualified Pipeline
W1,120000,273600,1.28,2.28,186,0.38,0.082,0.041,0.63,0.18,485000
W2,119000,278460,1.34,2.34,180,0.4,0.085,0.043,0.66,0.17,501000
W3,118500,284400,1.4,2.4,173,0.42,0.088,0.045,0.69,0.16,520000
W4,119500,298750,1.5,2.5,164,0.44,0.092,0.047,0.73,0.14,548000
W5,121000,314600,1.6,2.6,155,0.46,0.096,0.05,0.77,0.13,576000
W6,122000,329400,1.7,2.7,148,0.48,0.101,0.052,0.81,0.12,603000
W7,123500,345800,1.8,2.8,141,0.5,0.106,0.054,0.84,0.11,632000
W8,124000,359600,1.9,2.9,135,0.52,0.11,0.056,0.87,0.1,660000
W9,125000,375000,2.0,3.0,130,0.53,0.114,0.058,0.89,0.09,689000
W10,126000,390600,2.1,3.1,125,0.55,0.12,0.06,0.92,0.07,721000
W11,127000,406400,2.2,3.2,122,0.56,0.123,0.062,0.93,0.07,744000
W12,128000,419840,2.28,3.28,119,0.57,0.126,0.063,0.94,0.06,768000
