Week,OTIF %,OTD %,In-Full %,Lead-Time Variance Days,Defect Rate %,Expedite Cost,Critical Stockouts,Corrective Action On-Time %,Open Red Suppliers,Past-Due PO Lines,Supplier Commit Accuracy %
W1,0.76,0.82,0.88,4.8,0.036,84000,12,0.58,8,64,0.71
W2,0.78,0.83,0.89,4.5,0.034,79000,11,0.61,8,60,0.73
W3,0.8,0.85,0.9,4.1,0.031,72000,10,0.65,7,55,0.76
W4,0.82,0.86,0.91,3.8,0.029,66000,9,0.69,7,49,0.79
W5,0.84,0.88,0.92,3.4,0.026,59000,8,0.73,6,43,0.82
W6,0.86,0.89,0.93,3.0,0.023,53000,7,0.77,6,38,0.84
W7,0.88,0.91,0.94,2.6,0.021,47000,6,0.81,5,32,0.87
W8,0.9,0.92,0.95,2.3,0.019,42000,5,0.84,4,28,0.89
W9,0.92,0.94,0.96,1.9,0.017,36000,4,0.88,4,22,0.91
W10,0.94,0.95,0.97,1.5,0.015,30000,3,0.92,3,17,0.93
W11,0.94,0.96,0.97,1.4,0.014,29000,3,0.93,2,14,0.94
W12,0.95,0.96,0.98,1.3,0.013,27000,2,0.94,2,11,0.95
