Week,New Hires,Day-1 Readiness %,Onboarding Completion %,Training Completion %,30-Day Manager Check-In %,90-Day Role Readiness %,New-Hire Satisfaction,90-Day Retention %,High Retention-Risk %,Avg Access Delay Hours,Open SLA Exceptions
W1,42,0.71,0.78,0.81,0.66,0.69,3.7,0.84,0.18,14.2,18
W2,39,0.74,0.8,0.83,0.69,0.71,3.8,0.85,0.17,12.8,16
W3,44,0.78,0.83,0.85,0.73,0.74,3.9,0.86,0.16,10.7,14
W4,46,0.82,0.86,0.88,0.77,0.77,4.0,0.87,0.14,8.9,12
W5,41,0.85,0.88,0.9,0.81,0.8,4.1,0.88,0.13,7.5,10
W6,48,0.88,0.9,0.92,0.84,0.83,4.2,0.89,0.12,6.2,9
W7,45,0.9,0.92,0.94,0.87,0.85,4.3,0.9,0.1,5.1,7
W8,50,0.92,0.93,0.95,0.89,0.87,4.4,0.91,0.09,4.3,6
W9,47,0.94,0.95,0.96,0.92,0.89,4.5,0.93,0.08,3.5,5
W10,52,0.96,0.96,0.97,0.95,0.9,4.5,0.94,0.07,2.8,4
W11,49,0.97,0.97,0.98,0.96,0.91,4.6,0.94,0.07,2.4,3
W12,53,0.97,0.97,0.98,0.96,0.92,4.6,0.95,0.06,2.0,2
